Name,Height,CanopyCover,DBH
Carpinus betulus,4.0,1.8,7.0
Carpinus betulus,4.0,1.8,7.0
Carpinus betulus,4.0,1.8,7.0
Carpinus betulus,4.0,1.8,7.0
Carpinus betulus,4.0,1.8,7.0
Carpinus betulus,4.0,1.8,7.0
Celtis australis,10.0,7.1,15.0
Celtis australis,10.0,7.1,15.0
Celtis australis,12.0,7.1,20.0
Celtis australis,18.0,19.6,80.0
Celtis australis,8.0,7.1,20.0
Celtis australis,8.0,7.1,20.0
Celtis australis,8.0,7.1,20.0
Celtis australis,6.0,7.1,15.0
Celtis australis,8.0,50.3,24.0
Carpinus betulus,4.5,4.9,9.0
Carpinus betulus,4.5,4.9,9.0
Carpinus betulus,5.0,3.1,10.0
Carpinus betulus,5.0,7.1,10.0
Carpinus betulus,5.0,3.1,10.0
Tilia cordata,4.0,1.8,6.0
Tilia cordata,4.0,0.8,6.0
Tilia cordata,6.0,12.6,13.0
Platanus x hispanica,11.0,78.5,29.0
Carpinus betulus,4.0,4.9,9.0
Carpinus betulus,4.5,7.1,12.0
Carpinus betulus,4.5,3.1,9.0
Tilia cordata,4.0,7.1,12.0
Tilia cordata,1.0,0.2,8.0
Tilia cordata,6.0,28.3,16.0
Tilia cordata,5.0,1.8,9.0
Tilia cordata,6.0,28.3,18.0
Tilia cordata,4.5,0.8,8.0
Tilia cordata,4.0,0.8,8.0
Tilia cordata,4.5,0.8,8.0
Tilia cordata,4.0,12.6,13.0
Tilia cordata,5.0,12.6,15.0
Tilia cordata,5.0,12.6,13.0
Tilia cordata,4.0,0.8,7.0
Tilia cordata,4.5,12.6,12.0
Tilia cordata,4.0,1.8,8.0
Tilia cordata,5.0,12.6,18.0
Tilia cordata,4.0,1.8,7.0
Tilia cordata,6.0,12.6,19.0
Tilia cordata,4.0,0.8,7.0
Tilia cordata,4.0,0.8,7.0
Tilia cordata,4.0,7.1,9.0
Tilia cordata,5.0,7.1,11.0
Tilia cordata,4.5,12.6,14.0
Tilia cordata,4.0,0.8,6.0
Tilia cordata,4.0,0.8,7.0
Tilia cordata,4.0,0.8,7.0
Tilia cordata,4.0,7.1,13.0
Tilia cordata,4.5,12.6,15.0
Tilia cordata,4.0,0.8,6.0
Tilia cordata,4.0,0.8,6.0
Tilia cordata,4.0,0.8,6.0
Tilia cordata,3.0,0.8,5.0
Tilia cordata,4.0,0.8,5.0
Tilia cordata,5.0,12.6,17.0
Tilia cordata,4.0,1.8,8.0
Tilia cordata,5.0,19.6,16.0
Platanus x hispanica,7.0,3.1,10.0
Platanus x hispanica,6.0,3.1,10.0
Platanus x hispanica,7.0,3.1,12.0
Platanus x hispanica,8.0,3.1,13.0
Platanus x hispanica,6.0,7.1,11.0
Platanus x hispanica,6.0,7.1,11.0
Carpinus betulus,6.0,7.1,7.0
Carpinus betulus,6.0,3.1,7.0
Carpinus betulus,6.0,7.1,7.0
Celtis australis,7.0,28.3,19.0
Tilia cordata,6.0,12.6,15.0
Tilia cordata,6.0,12.6,13.0
Tilia cordata,6.0,12.6,15.0
Tilia cordata,6.0,12.6,14.0
Tilia cordata,6.0,12.6,16.0
Tilia cordata,5.0,4.9,13.0
Tilia cordata,6.0,15.9,16.0
Tilia cordata,5.0,7.1,10.0
Tilia cordata,4.0,1.8,7.0
Tilia cordata,5.5,19.6,14.0
Tilia cordata,4.5,12.6,13.0
Tilia cordata,3.5,1.8,7.0
Tilia cordata,4.0,3.1,8.0
Tilia cordata,3.0,0.8,7.0
Tilia cordata,4.0,3.1,9.0
Tilia cordata,3.5,1.8,7.0
Tilia cordata,3.5,1.8,7.0
Tilia cordata,3.5,1.8,7.0
Tilia cordata,4.0,12.6,11.0
Tilia cordata,4.5,19.6,12.0
Tilia cordata,4.0,0.8,6.0
Tilia cordata,6.0,12.6,14.0
Tilia cordata,5.0,12.6,13.0
Tilia cordata,4.0,1.8,9.0
Tilia cordata,4.0,7.1,10.0
Tilia cordata,4.0,7.1,10.0
Tilia cordata,4.5,12.6,12.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,3.0,0.8,9.0
Celtis australis,6.0,19.6,14.0
Celtis australis,6.0,19.6,14.0
Celtis australis,6.0,19.6,14.0
Celtis australis,5.0,7.1,14.0
Celtis australis,5.0,7.1,14.0
Celtis australis,5.0,7.1,14.0
Celtis australis,5.0,7.1,14.0
Celtis australis,5.0,7.1,14.0
Celtis australis,6.0,19.6,14.0
Celtis australis,6.0,19.6,14.0
Celtis australis,5.0,7.1,14.0
Celtis australis,5.0,4.9,11.0
Celtis australis,5.0,4.9,11.0
Celtis australis,5.0,4.9,11.0
Celtis australis,5.0,7.1,14.0
Celtis australis,6.0,19.6,14.0
Celtis australis,6.0,19.6,14.0
Celtis australis,6.0,19.6,13.0
Celtis australis,6.0,19.6,14.0
Celtis australis,6.0,12.6,12.0
Celtis australis,6.0,12.6,12.0
Celtis australis,6.0,12.6,16.0
Celtis australis,6.0,12.6,12.0
Celtis australis,6.0,12.6,12.0
Celtis australis,6.0,12.6,12.0
Celtis australis,5.0,4.9,9.0
Celtis australis,5.0,4.9,11.0
Celtis australis,5.0,7.1,14.0
Celtis australis,5.0,4.9,11.0
Celtis australis,5.0,7.1,11.0
Celtis australis,5.0,7.1,11.0
Celtis australis,5.0,7.1,11.0
Celtis australis,5.0,4.9,9.0
Celtis australis,5.0,7.1,11.0
Celtis australis,5.0,7.1,11.0
Celtis australis,5.0,7.1,14.0
Celtis australis,6.0,19.6,14.0
Celtis australis,5.0,7.1,14.0
Celtis australis,6.0,19.6,14.0
Celtis australis,6.0,19.6,14.0
Celtis australis,5.0,7.1,14.0
Celtis australis,5.0,7.1,14.0
Celtis australis,5.0,7.1,14.0
Celtis australis,6.0,19.6,14.0
Celtis australis,6.0,19.6,14.0
Celtis australis,6.0,19.6,14.0
Celtis australis,6.0,19.6,14.0
Celtis australis,6.0,19.6,14.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,4.0,4.9,10.0
Celtis australis,6.0,28.3,18.0
Carpinus betulus,4.5,4.9,10.0
Carpinus betulus,5.0,3.1,9.0
Carpinus betulus,4.5,4.9,10.0
Carpinus betulus,4.5,4.9,10.0
Carpinus betulus,4.5,4.9,9.0
Carpinus betulus,5.0,3.1,10.0
Carpinus betulus,5.0,3.1,10.0
Carpinus betulus,4.5,4.9,9.0
Carpinus betulus,5.0,3.1,10.0
Carpinus betulus,2.5,3.1,9.0
Carpinus betulus,4.5,3.1,9.0
Carpinus betulus,5.0,7.1,10.0
Carpinus betulus,5.0,7.1,10.0
Carpinus betulus,4.5,4.9,10.0
Carpinus betulus,4.5,4.9,9.0
Carpinus betulus,4.5,3.1,9.0
Carpinus betulus,4.5,4.9,10.0
Carpinus betulus,4.5,3.1,9.0
Carpinus betulus,4.5,7.1,9.0
Carpinus betulus,4.5,4.9,9.0
Carpinus betulus,4.5,7.1,9.0
Carpinus betulus,4.5,4.9,10.0
Carpinus betulus,4.5,3.1,9.0
Carpinus betulus,5.0,3.1,10.0
Carpinus betulus,4.5,3.1,9.0
Carpinus betulus,4.5,4.9,9.0
Carpinus betulus,4.5,4.9,9.0
Carpinus betulus,4.5,4.9,9.0
Carpinus betulus,5.0,3.1,10.0
Celtis australis,6.0,12.6,18.0
Celtis australis,6.0,12.6,18.0
Celtis australis,6.0,12.6,18.0
Celtis australis,6.0,12.6,18.0
Celtis australis,6.0,12.6,18.0
Celtis australis,6.0,12.6,18.0
Celtis australis,6.0,12.6,17.0
Celtis australis,6.0,12.6,18.0
Celtis australis,6.0,12.6,18.0
Celtis australis,6.0,12.6,18.0
Celtis australis,6.0,12.6,20.0
Celtis australis,6.0,12.6,20.0
Celtis australis,6.0,12.6,20.0
Celtis australis,6.0,12.6,20.0
Celtis australis,6.0,12.6,20.0
Celtis australis,6.0,12.6,18.0
Celtis australis,6.0,12.6,20.0
Celtis australis,6.0,12.6,20.0
Celtis australis,6.0,12.6,22.0
Celtis australis,5.0,12.6,11.0
Celtis australis,5.0,7.1,9.0
Celtis australis,5.0,12.6,11.0
Celtis australis,5.0,12.6,11.0
Celtis australis,4.5,7.1,9.0
Celtis australis,5.0,9.6,10.0
Celtis australis,5.0,7.1,9.0
Celtis australis,4.5,7.1,12.0
Celtis australis,4.5,7.1,12.0
Celtis australis,4.5,7.1,12.0
Celtis australis,4.5,7.1,12.0
Celtis australis,4.5,7.1,12.0
Celtis australis,5.0,19.6,13.0
Celtis australis,4.5,7.1,12.0
Celtis australis,4.5,7.1,12.0
Celtis australis,4.5,7.1,12.0
Celtis australis,4.5,7.1,12.0
Celtis australis,4.5,7.1,12.0
Celtis australis,4.5,7.1,12.0
Celtis australis,4.5,7.1,12.0
Celtis australis,4.5,7.1,12.0
Celtis australis,4.5,7.1,10.0
Celtis australis,5.0,7.1,11.0
Celtis australis,5.0,7.1,11.0
Celtis australis,5.0,12.6,11.0
Celtis australis,6.0,12.6,12.0
Celtis australis,4.0,7.1,12.0
Celtis australis,8.0,28.3,25.0
Celtis australis,8.0,28.3,25.0
Celtis australis,8.0,28.3,19.0
Celtis australis,8.0,28.3,21.0
Celtis australis,8.0,28.3,21.0
Celtis australis,8.0,28.3,21.0
Celtis australis,8.0,28.3,21.0
Celtis australis,8.0,28.3,20.0
Celtis australis,8.0,28.3,21.0
Celtis australis,8.0,28.3,22.0
Celtis australis,8.0,28.3,18.0
Celtis australis,8.0,28.3,22.0
Celtis australis,8.0,28.3,19.0
Celtis australis,8.0,28.3,19.0
Celtis australis,8.0,28.3,19.0
Celtis australis,8.0,28.3,22.0
Celtis australis,8.0,28.3,19.0
Celtis australis,8.0,28.3,23.0
Celtis australis,8.0,28.3,25.0
Celtis australis,6.0,19.6,12.0
Celtis australis,6.0,19.6,12.0
Celtis australis,8.0,28.3,18.0
Celtis australis,8.0,28.3,19.0
Celtis australis,7.0,19.6,16.0
Celtis australis,8.0,50.3,19.0
Celtis australis,7.0,28.3,18.0
Celtis australis,4.0,1.8,6.0
Celtis australis,4.0,1.8,7.0
Celtis australis,5.0,12.6,12.0
Celtis australis,5.0,12.6,13.0
Celtis australis,4.0,1.8,7.0
Tilia cordata,5.0,12.6,18.0
Tilia cordata,4.0,4.9,11.0
Tilia cordata,4.0,12.6,15.0
Tilia cordata,4.0,4.9,10.0
Tilia cordata,6.0,15.9,18.0
Tilia cordata,4.5,0.8,7.0
Tilia cordata,4.5,0.8,7.0
Tilia cordata,5.0,12.6,15.0
Tilia cordata,6.0,12.6,17.0
Tilia cordata,4.0,0.8,8.0
Tilia cordata,4.0,1.8,7.0
Tilia cordata,5.0,12.6,17.0
Tilia cordata,3.5,3.1,6.0
Tilia cordata,4.0,15.9,21.0
Celtis australis,4.0,1.8,7.0
Celtis australis,5.0,4.9,10.0
Celtis australis,4.0,1.8,7.0
Celtis australis,5.0,4.9,12.0
Celtis australis,5.0,4.9,11.0
Celtis australis,6.0,28.3,19.0
Celtis australis,6.0,28.3,18.0
Celtis australis,8.0,28.3,22.0
Tilia cordata,4.0,7.1,12.0
Tilia cordata,5.0,12.6,16.0
Tilia cordata,5.0,12.6,15.0
Tilia cordata,5.0,7.1,13.0
Carpinus betulus,4.5,7.1,12.0
Carpinus betulus,4.5,7.1,12.0
Carpinus betulus,5.0,4.9,10.0
Carpinus betulus,5.0,7.1,11.0
Carpinus betulus,4.5,4.9,8.0
Carpinus betulus,4.5,4.9,9.0
Carpinus betulus,5.0,3.1,10.0
Platanus x hispanica,5.0,7.1,12.0
Platanus x hispanica,7.0,28.3,22.0
Platanus x hispanica,7.0,28.3,21.0
Platanus x hispanica,7.0,28.3,18.0
Platanus x hispanica,7.0,28.3,19.0
Platanus x hispanica,5.0,7.1,13.0
Platanus x hispanica,8.0,28.3,16.0
Platanus x hispanica,13.0,78.5,33.0
Platanus x hispanica,12.0,78.5,33.0
Platanus x hispanica,11.0,50.3,22.0
Platanus x hispanica,6.0,1.8,7.0
Platanus x hispanica,12.0,78.5,32.0
Platanus x hispanica,11.0,63.6,21.0
Platanus x hispanica,12.0,78.5,28.0
Platanus x hispanica,11.0,63.6,22.0
Platanus x hispanica,12.0,95.0,29.0
Platanus x hispanica,8.0,23.8,15.0
Celtis australis,4.0,0.8,7.0
Celtis australis,6.0,12.6,13.0
Celtis australis,6.0,12.6,14.0
Platanus x hispanica,10.0,63.6,19.0
Platanus x hispanica,12.0,78.5,28.0
Platanus x hispanica,12.0,78.5,31.0
Platanus x hispanica,8.0,38.5,18.0
Platanus x hispanica,8.0,50.3,18.0
Platanus x hispanica,11.0,50.3,22.0
Platanus x hispanica,11.0,63.6,24.0
Platanus x hispanica,11.0,63.6,24.0
Platanus x hispanica,10.0,50.3,21.0
Platanus x hispanica,12.0,95.0,24.0
Platanus x hispanica,11.0,78.5,29.0
Platanus x hispanica,7.0,38.5,18.0
Tilia cordata,10.0,50.3,25.0
Tilia cordata,10.0,50.3,19.0
Tilia cordata,7.0,12.6,16.0
Tilia cordata,7.0,12.6,16.0
Tilia cordata,7.0,28.3,17.0
Tilia cordata,6.0,12.6,14.0
Tilia cordata,6.0,12.6,13.0
Tilia cordata,6.0,28.3,13.0
Tilia cordata,7.0,28.3,15.0
Tilia cordata,7.0,38.5,14.0
Tilia cordata,8.0,38.5,18.0
Tilia cordata,4.0,0.8,6.0
Tilia cordata,6.0,12.6,13.0
Tilia cordata,5.0,1.8,6.0
Tilia cordata,6.0,4.9,10.0
Tilia cordata,2.5,0.8,7.0
Tilia cordata,4.5,12.6,12.0
Tilia cordata,4.0,3.1,10.0
Tilia cordata,4.0,3.1,10.0
Tilia cordata,6.5,12.6,19.0
Tilia cordata,4.0,1.8,8.0
Tilia cordata,5.5,19.6,16.0
Tilia cordata,5.5,28.3,16.0
Tilia cordata,4.0,0.8,7.0
Tilia cordata,4.0,0.8,7.0
Tilia cordata,6.0,28.3,18.0
Tilia cordata,5.5,19.6,16.0
Tilia cordata,4.0,0.8,7.0
Tilia cordata,4.0,1.8,7.0
Tilia cordata,4.0,1.8,7.0
Tilia cordata,5.0,19.6,17.0
Tilia cordata,5.0,19.6,17.0
Tilia cordata,4.0,7.1,12.0
Tilia cordata,4.0,12.6,18.0
Platanus x hispanica,5.0,4.9,10.0
Platanus x hispanica,5.0,4.9,10.0
Platanus x hispanica,6.0,3.1,14.0
Platanus x hispanica,6.0,3.1,14.0
Platanus x hispanica,5.0,1.8,13.0
Platanus x hispanica,6.0,3.1,13.0
Platanus x hispanica,6.0,3.1,13.0
Platanus x hispanica,7.0,7.1,13.0
Platanus x hispanica,7.0,7.1,13.0
Platanus x hispanica,7.0,7.1,13.0
Platanus x hispanica,4.0,4.9,10.0
Platanus x hispanica,6.0,4.9,10.0
Platanus x hispanica,5.0,7.1,15.0
Platanus x hispanica,5.0,7.1,13.0
Platanus x hispanica,6.0,7.1,15.0
Platanus x hispanica,6.0,7.1,15.0
Platanus x hispanica,6.0,7.1,15.0
Platanus x hispanica,6.0,4.9,10.0
Platanus x hispanica,6.0,4.9,10.0
Platanus x hispanica,6.0,4.9,10.0
Platanus x hispanica,7.0,7.1,11.0
Platanus x hispanica,7.0,7.1,12.0
Platanus x hispanica,7.0,7.1,12.0
Platanus x hispanica,6.0,4.9,11.0
Platanus x hispanica,7.0,7.1,11.0
Platanus x hispanica,7.0,7.1,11.0
Platanus x hispanica,6.0,7.1,10.0
Platanus x hispanica,6.0,7.1,10.0
Platanus x hispanica,6.0,7.1,10.0
Celtis australis,5.0,12.6,15.0
Celtis australis,5.0,12.6,15.0
Celtis australis,5.0,12.6,14.0
Celtis australis,5.0,12.6,14.0
Celtis australis,4.0,7.1,12.0
Celtis australis,4.0,12.6,13.0
Celtis australis,4.0,12.6,13.0
Celtis australis,4.0,12.6,15.0
Celtis australis,5.0,12.6,15.0
Celtis australis,5.0,12.6,15.0
Celtis australis,5.0,12.6,14.0
Celtis australis,4.0,12.6,14.0
Celtis australis,4.0,12.6,12.0
Celtis australis,5.0,12.6,14.0
Celtis australis,5.0,12.6,14.0
Celtis australis,5.0,12.6,14.0
Celtis australis,4.0,12.6,12.0
Celtis australis,5.0,12.6,14.0
Celtis australis,5.0,7.1,12.0
Celtis australis,5.0,12.6,14.0
Celtis australis,5.0,12.6,14.0
Celtis australis,4.5,12.6,12.0
Celtis australis,5.0,12.6,13.0
Celtis australis,4.0,19.6,14.0
Celtis australis,5.0,12.6,13.0
Celtis australis,5.0,12.6,13.0
Celtis australis,4.5,7.1,11.0
Celtis australis,5.0,12.6,13.0
Celtis australis,4.5,7.1,11.0
Celtis australis,5.0,12.6,14.0
Celtis australis,5.0,12.6,13.0
Celtis australis,5.0,12.6,13.0
Celtis australis,5.0,12.6,13.0
Celtis australis,4.0,3.1,4.0
Platanus x hispanica,18.0,176.7,80.0
Platanus x hispanica,18.0,201.1,70.0
Platanus x hispanica,24.0,227.0,75.0
Aesculus hippocastanum,15.0,176.7,50.0
Aesculus hippocastanum,15.0,113.1,60.0
Aesculus hippocastanum,14.0,95.0,60.0
Aesculus hippocastanum,16.0,28.3,52.5
Celtis australis,6.0,12.6,17.0
Celtis australis,6.0,12.6,22.0
Celtis australis,7.0,19.6,23.0
Celtis australis,10.0,38.5,35.0
Celtis australis,9.0,50.3,28.0
Celtis australis,8.0,38.5,28.0
Celtis australis,12.0,113.1,29.0
Celtis australis,9.0,50.3,33.0
Celtis australis,9.0,38.5,28.0
Celtis australis,8.0,28.3,20.0
Tilia cordata,10.0,28.3,25.0
Tilia cordata,10.0,28.3,25.0
Celtis australis,10.0,28.3,25.0
Celtis australis,10.0,28.3,25.0
Celtis australis,10.0,50.3,29.0
Celtis australis,8.0,28.3,27.0
Celtis australis,8.0,28.3,25.0
Celtis australis,7.0,28.3,18.0
Celtis australis,8.0,50.3,22.0
Celtis australis,8.0,50.3,22.0
Celtis australis,8.0,28.3,16.0
Celtis australis,6.0,28.3,20.0
Celtis australis,15.0,113.1,50.0
Celtis australis,12.5,95.0,46.0
Celtis australis,13.0,113.1,46.0
Celtis australis,12.0,113.1,45.0
Celtis australis,13.0,113.1,46.0
Celtis australis,5.0,12.6,18.0
Carpinus betulus,6.2,10.1,17.0
Celtis australis,5.0,19.6,16.0
Celtis australis,5.0,12.6,14.0
Celtis australis,5.0,12.6,15.0
Celtis australis,3.5,12.6,12.0
Celtis australis,4.0,12.6,13.0
Celtis australis,14.0,12.6,80.0
Celtis australis,14.0,28.3,60.0
Celtis australis,15.0,50.3,70.0
Celtis australis,15.0,63.6,65.0
Celtis australis,18.0,95.0,85.0
Celtis australis,16.0,78.5,45.0
Celtis australis,15.0,176.7,45.0
Celtis australis,18.0,63.6,60.0
Carpinus betulus,8.0,12.6,20.0
Carpinus betulus,15.0,12.6,35.0
Carpinus betulus,8.0,12.6,20.0
Celtis australis,25.0,12.6,35.0
Aesculus hippocastanum,6.0,12.6,18.0
Aesculus hippocastanum,6.0,12.6,20.0
Aesculus hippocastanum,14.0,78.5,65.0
Aesculus hippocastanum,12.0,28.3,15.0
Aesculus hippocastanum,5.0,3.1,15.0
Carpinus betulus,3.0,3.1,3.0
Aesculus hippocastanum,12.0,78.5,50.0
Carpinus betulus,20.0,12.6,60.0
Carpinus betulus,18.0,12.6,40.0
Carpinus betulus,25.0,12.6,70.0
Carpinus betulus,8.0,3.1,10.0
Carpinus betulus,8.0,3.1,10.0
Carpinus betulus,8.0,3.1,10.0
Carpinus betulus,8.0,3.1,10.0
Carpinus betulus,8.0,3.1,10.0
Carpinus betulus,7.0,1.8,6.0
Celtis australis,20.0,12.6,60.0
Celtis australis,20.0,12.6,25.0
Aesculus hippocastanum,20.0,19.6,30.0
Aesculus hippocastanum,8.0,12.6,30.0
Aesculus hippocastanum,6.0,12.6,25.0
Aesculus hippocastanum,12.0,78.5,62.0
Aesculus hippocastanum,12.0,50.3,60.0
Aesculus hippocastanum,7.0,12.6,18.0
Aesculus hippocastanum,8.0,28.3,28.0
Aesculus hippocastanum,10.0,28.3,38.0
Aesculus hippocastanum,8.0,28.3,40.0
Aesculus hippocastanum,9.0,28.3,45.0
Aesculus hippocastanum,12.0,50.3,70.0
Aesculus hippocastanum,12.0,50.3,60.0
Aesculus hippocastanum,9.0,50.3,50.0
Aesculus hippocastanum,14.0,50.3,80.0
Aesculus hippocastanum,6.0,28.3,30.0
