Height,CanopySize,Diameter
5.0,12.6,16.0
6.0,28.3,25.0
6.0,28.3,22.0
4.0,7.1,11.0
7.0,19.6,18.0
7.0,19.6,18.0
6.0,19.6,18.0
6.0,12.6,11.0
6.0,19.6,15.0
6.0,19.6,15.0
7.0,19.6,18.0
6.0,12.6,11.0
7.0,28.3,18.0
4.0,7.1,11.0
14.0,0.8,19.0
14.0,0.8,19.0
14.0,0.8,19.0
14.0,0.8,19.0
14.0,0.8,19.0
14.0,0.8,19.0
4.0,7.1,11.0
4.5,12.6,12.0
6.0,12.6,12.0
10.0,19.6,20.0
10.0,19.6,25.0
6.0,12.6,18.0
10.0,19.6,25.0
6.0,28.3,16.0
6.0,28.3,16.0
15.0,113.1,80.0
9.0,28.3,24.0
6.0,12.6,18.0
16.0,50.3,65.0
6.0,28.3,166.0
5.5,19.6,14.0
6.5,28.3,16.0
8.0,12.6,16.0
13.0,38.5,28.0
9.0,19.6,18.0
14.0,78.5,50.0
14.0,113.1,42.0
4.5,19.6,19.0
5.0,19.6,17.0
4.5,19.6,17.0
4.5,19.6,15.0
1.0,0.8,5.0
15.0,63.6,22.0
12.0,19.6,18.0
5.0,7.1,11.0
12.0,78.5,25.0
12.0,50.3,32.0
12.0,50.3,28.0
12.0,113.1,32.0
13.0,50.3,38.0
6.0,12.6,16.0
5.0,7.1,15.0
5.0,7.1,15.0
5.0,7.1,12.0
7.0,12.6,17.0
7.0,12.6,16.0
7.0,12.6,18.0
7.0,12.6,18.0
7.0,12.6,18.0
11.0,50.3,18.0
5.0,7.1,13.0
15.0,63.6,40.0
12.0,12.6,20.0
8.0,28.3,14.0
12.0,50.3,22.0
14.0,78.5,40.0
3.0,7.1,9.0
3.0,7.1,9.0
3.0,7.1,10.0
3.0,7.1,10.0
3.5,7.1,10.0
3.5,7.1,10.0
3.0,3.1,9.0
3.0,3.1,10.0
3.0,1.8,8.0
3.0,1.8,8.0
3.0,3.1,8.0
3.0,1.8,8.0
3.0,1.8,8.0
3.0,1.8,8.0
3.0,1.8,8.0
3.0,1.8,8.0
3.0,1.8,8.0
5.0,19.6,18.0
4.0,12.6,16.0
4.0,12.6,15.0
4.0,12.6,14.0
4.0,12.6,14.0
4.0,12.6,14.0
4.0,12.6,14.0
4.0,12.6,13.0
15.0,113.1,46.0
8.0,28.3,15.0
8.0,28.3,15.0
10.0,50.3,24.0
8.0,28.3,32.0
9.0,153.9,38.0
8.0,113.1,32.0
8.0,113.1,32.0
10.0,50.3,32.0
10.0,0.8,16.0
14.0,3.1,34.0
14.0,3.1,44.0
4.0,0.8,8.0
4.0,0.8,8.0
15.0,63.6,40.0
8.0,38.5,21.0
11.0,78.5,28.0
4.0,12.6,13.0
3.5,4.9,10.0
4.0,7.1,17.0
5.0,12.6,21.0
6.0,7.1,12.0
6.5,12.6,16.0
5.0,4.9,9.0
7.0,12.6,14.0
6.0,7.1,13.0
6.5,12.6,15.0
7.0,12.6,16.0
6.5,12.6,12.0
6.5,12.6,12.0
6.5,12.6,14.0
6.5,12.6,14.0
6.5,12.6,12.0
7.0,12.6,17.0
6.0,7.1,16.0
4.0,1.8,9.0
5.0,12.6,13.0
6.0,12.6,13.0
7.0,12.6,16.0
7.0,12.6,16.0
4.5,3.1,12.0
5.0,12.6,12.0
7.0,12.6,19.0
4.0,3.1,9.0
3.5,1.8,8.0
7.0,12.6,18.0
6.0,7.1,13.0
7.0,28.3,18.0
7.0,28.3,18.0
7.0,28.3,18.0
7.0,28.3,18.0
7.0,28.3,18.0
6.0,19.6,15.0
6.0,19.6,15.0
6.0,12.6,15.0
6.0,19.6,15.0
7.0,28.3,19.0
7.0,28.3,19.0
7.0,28.3,19.0
7.0,19.6,14.0
8.0,63.6,15.0
6.0,12.6,15.0
6.0,12.6,10.0
8.0,28.3,18.0
8.0,12.6,15.0
8.0,12.6,15.0
