Species,Height,Diameter,Leaf_area,CO2,Canopy_size
Tilia cordata,6.0,16.0,21.2,2.1,12.6
Tilia cordata,5.0,13.0,9.4,1.6,4.9
Tilia cordata,6.0,16.0,35.1,2.1,15.9
Tilia cordata,5.0,10.0,12.1,1.1,7.1
Tilia cordata,4.0,7.0,3.8,0.7,1.8
Tilia cordata,5.5,14.0,41.2,1.7,19.6
Tilia cordata,4.5,13.0,19.3,1.6,12.6
Tilia cordata,3.5,7.0,4.1,0.7,1.8
Tilia cordata,4.0,8.0,4.8,0.8,3.1
Tilia cordata,3.0,7.0,2.4,0.7,0.8
Tilia cordata,4.0,9.0,5.3,1.0,3.1
Tilia cordata,3.5,7.0,3.7,0.7,1.8
Tilia cordata,3.5,7.0,3.7,0.7,1.8
Tilia cordata,3.5,7.0,4.1,0.7,1.8
Tilia cordata,4.0,11.0,16.4,1.3,12.6
Tilia cordata,4.5,12.0,30.6,1.4,19.6
Tilia cordata,4.0,6.0,2.8,0.6,0.8
Tilia cordata,6.0,14.0,20.2,1.7,12.6
Tilia cordata,5.0,13.0,21.3,1.6,12.6
Tilia cordata,4.0,9.0,4.4,1.0,1.8
Tilia cordata,4.0,10.0,9.3,1.1,7.1
Tilia cordata,4.0,10.0,10.6,1.1,7.1
Tilia cordata,4.5,12.0,22.7,1.4,12.6
Tilia cordata,4.0,10.0,6.9,1.1,4.9
Tilia cordata,3.0,9.0,2.8,1.0,0.8
Celtis australis,6.0,14.0,31.2,0.8,19.6
Celtis australis,6.0,14.0,29.2,0.8,19.6
Celtis australis,6.0,14.0,35.3,0.8,19.6
Celtis australis,5.0,14.0,10.7,0.8,7.1
Celtis australis,5.0,14.0,10.7,0.8,7.1
Celtis australis,5.0,14.0,12.0,0.8,7.1
Celtis australis,5.0,14.0,10.7,0.8,7.1
Celtis australis,5.0,14.0,12.0,0.8,7.1
Celtis australis,6.0,14.0,31.2,0.8,19.6
Celtis australis,6.0,14.0,29.2,0.8,19.6
Celtis australis,5.0,14.0,10.0,0.8,7.1
Celtis australis,5.0,11.0,6.4,0.7,4.9
Celtis australis,5.0,11.0,7.8,0.7,4.9
Celtis australis,5.0,11.0,8.3,0.7,4.9
Celtis australis,5.0,14.0,12.0,0.8,7.1
Celtis australis,6.0,14.0,31.2,0.8,19.6
Celtis australis,6.0,14.0,33.2,0.8,19.6
Celtis australis,6.0,13.0,26.5,0.7,19.6
Celtis australis,6.0,14.0,31.2,0.8,19.6
Celtis australis,6.0,12.0,18.3,0.7,12.6
Celtis australis,6.0,12.0,20.7,0.7,12.6
Celtis australis,6.0,16.0,21.6,0.8,12.6
Celtis australis,6.0,12.0,20.7,0.7,12.6
Celtis australis,6.0,12.0,17.1,0.7,12.6
Celtis australis,6.0,12.0,18.3,0.7,12.6
Celtis australis,5.0,9.0,7.8,0.6,4.9
Celtis australis,5.0,11.0,8.3,0.7,4.9
Celtis australis,5.0,14.0,10.7,0.8,7.1
Celtis australis,5.0,11.0,7.8,0.7,4.9
Celtis australis,5.0,11.0,11.1,0.7,7.1
Celtis australis,5.0,11.0,8.5,0.7,7.1
Celtis australis,5.0,11.0,11.1,0.7,7.1
Celtis australis,5.0,9.0,7.8,0.6,4.9
Celtis australis,5.0,11.0,9.8,0.7,7.1
Celtis australis,5.0,11.0,8.5,0.7,7.1
Celtis australis,5.0,14.0,10.0,0.8,7.1
Celtis australis,6.0,14.0,33.2,0.8,19.6
Celtis australis,5.0,14.0,12.0,0.8,7.1
Celtis australis,6.0,14.0,29.2,0.8,19.6
Celtis australis,6.0,14.0,35.3,0.8,19.6
Celtis australis,5.0,14.0,9.3,0.8,7.1
Celtis australis,5.0,14.0,9.3,0.8,7.1
Celtis australis,5.0,14.0,9.3,0.8,7.1
Celtis australis,6.0,14.0,35.3,0.8,19.6
Celtis australis,6.0,14.0,35.3,0.8,19.6
Celtis australis,6.0,14.0,35.3,0.8,19.6
Celtis australis,6.0,14.0,31.2,0.8,19.6
Celtis australis,6.0,14.0,33.2,0.8,19.6
Tilia cordata,4.0,10.0,9.0,1.1,4.9
Tilia cordata,4.0,10.0,7.5,1.1,4.9
Tilia cordata,4.0,10.0,9.0,1.1,4.9
Tilia cordata,4.0,10.0,8.0,1.1,4.9
Tilia cordata,4.0,10.0,9.0,1.1,4.9
Tilia cordata,4.0,10.0,8.0,1.1,4.9
Tilia cordata,4.0,10.0,9.0,1.1,4.9
Tilia cordata,4.0,10.0,9.0,1.1,4.9
Tilia cordata,4.0,10.0,9.0,1.1,4.9
Tilia cordata,4.0,10.0,7.5,1.1,4.9
Tilia cordata,4.0,10.0,9.0,1.1,4.9
Tilia cordata,4.0,10.0,8.0,1.1,4.9
Tilia cordata,4.0,10.0,9.0,1.1,4.9
Tilia cordata,4.0,10.0,6.9,1.1,4.9
Tilia cordata,4.0,10.0,7.5,1.1,4.9
Tilia cordata,4.0,10.0,9.0,1.1,4.9
Tilia cordata,4.0,10.0,8.0,1.1,4.9
Tilia cordata,4.0,10.0,8.5,1.1,4.9
Tilia cordata,4.0,10.0,8.0,1.1,4.9
Tilia cordata,4.0,10.0,9.0,1.1,4.9
Tilia cordata,4.0,10.0,9.0,1.1,4.9
Tilia cordata,4.0,10.0,9.0,1.1,4.9
Tilia cordata,4.0,10.0,8.0,1.1,4.9
Tilia cordata,4.0,10.0,8.0,1.1,4.9
Tilia cordata,4.0,10.0,8.5,1.1,4.9
Tilia cordata,4.0,10.0,7.5,1.1,4.9
Tilia cordata,4.0,10.0,7.5,1.1,4.9
Tilia cordata,4.0,10.0,9.0,1.1,4.9
Tilia cordata,4.0,10.0,6.9,1.1,4.9
Tilia cordata,4.0,10.0,8.5,1.1,4.9
Tilia cordata,4.0,10.0,7.5,1.1,4.9
Tilia cordata,4.0,10.0,9.0,1.1,4.9
Tilia cordata,4.0,10.0,8.5,1.1,4.9
Tilia cordata,4.0,10.0,9.0,1.1,4.9
Tilia cordata,4.0,10.0,9.0,1.1,4.9
Tilia cordata,4.0,10.0,7.5,1.1,4.9
Tilia cordata,4.0,10.0,9.0,1.1,4.9
Tilia cordata,4.0,10.0,9.0,1.1,4.9
Tilia cordata,4.0,10.0,8.0,1.1,4.9
Tilia cordata,4.0,10.0,7.5,1.1,4.9
Tilia cordata,4.0,10.0,8.5,1.1,4.9
Tilia cordata,4.0,10.0,9.0,1.1,4.9
Tilia cordata,4.0,10.0,9.0,1.1,4.9
Tilia cordata,4.0,10.0,8.0,1.1,4.9
Tilia cordata,4.0,10.0,8.5,1.1,4.9
Tilia cordata,4.0,10.0,9.0,1.1,4.9
Tilia cordata,4.0,10.0,9.0,1.1,4.9
Tilia cordata,4.0,10.0,8.0,1.1,4.9
Tilia cordata,4.0,10.0,8.0,1.1,4.9
Tilia cordata,4.0,10.0,8.0,1.1,4.9
Tilia cordata,4.0,10.0,9.0,1.1,4.9
Tilia cordata,4.0,10.0,9.0,1.1,4.9
Tilia cordata,4.0,10.0,6.9,1.1,4.9
Tilia cordata,4.0,10.0,8.5,1.1,4.9
Tilia cordata,4.0,10.0,8.5,1.1,4.9
Tilia cordata,4.0,10.0,9.0,1.1,4.9
Tilia cordata,4.0,10.0,9.0,1.1,4.9
Tilia cordata,4.0,10.0,9.0,1.1,4.9
Celtis australis,6.0,18.0,59.4,0.9,28.3
Carpinus betulus,4.5,10.0,10.4,1.7,4.9
Carpinus betulus,5.0,9.0,7.3,1.5,3.1
Carpinus betulus,4.5,10.0,8.0,1.7,4.9
Carpinus betulus,4.5,10.0,10.4,1.7,4.9
Carpinus betulus,4.5,9.0,8.3,1.5,4.9
Carpinus betulus,5.0,10.0,7.1,1.7,3.1
Carpinus betulus,5.0,10.0,7.1,1.7,3.1
Carpinus betulus,4.5,9.0,8.9,1.5,4.9
Carpinus betulus,5.0,10.0,7.1,1.7,3.1
Carpinus betulus,2.5,9.0,6.9,1.5,3.1
Carpinus betulus,4.5,9.0,7.5,1.5,3.1
Carpinus betulus,5.0,10.0,13.5,1.7,7.1
Carpinus betulus,5.0,10.0,12.7,1.7,7.1
Carpinus betulus,4.5,10.0,8.6,1.7,4.9
Carpinus betulus,4.5,9.0,10.1,1.5,4.9
Carpinus betulus,4.5,9.0,6.6,1.5,3.1
Carpinus betulus,4.5,10.0,10.4,1.7,4.9
Carpinus betulus,4.5,9.0,7.5,1.5,3.1
Carpinus betulus,4.5,9.0,13.4,1.5,7.1
Carpinus betulus,4.5,9.0,9.5,1.5,4.9
Carpinus betulus,4.5,9.0,10.3,1.5,7.1
Carpinus betulus,4.5,10.0,10.4,1.7,4.9
Carpinus betulus,4.5,9.0,6.2,1.5,3.1
Carpinus betulus,5.0,10.0,7.6,1.7,3.1
Carpinus betulus,4.5,9.0,6.6,1.5,3.1
Carpinus betulus,4.5,9.0,8.9,1.5,4.9
Carpinus betulus,4.5,9.0,9.5,1.5,4.9
Carpinus betulus,4.5,9.0,8.3,1.5,4.9
Carpinus betulus,5.0,10.0,6.7,1.7,3.1
Celtis australis,6.0,18.0,18.4,0.9,12.6
Celtis australis,6.0,18.0,23.8,0.9,12.6
Celtis australis,6.0,18.0,23.8,0.9,12.6
Celtis australis,6.0,18.0,21.1,0.9,12.6
Celtis australis,6.0,18.0,23.8,0.9,12.6
Celtis australis,6.0,18.0,23.8,0.9,12.6
Celtis australis,6.0,17.0,23.4,0.9,12.6
Celtis australis,6.0,18.0,22.5,0.9,12.6
Celtis australis,6.0,18.0,23.8,0.9,12.6
Celtis australis,6.0,18.0,21.1,0.9,12.6
Celtis australis,6.0,20.0,24.7,1.0,12.6
Celtis australis,6.0,20.0,21.9,1.0,12.6
Celtis australis,6.0,20.0,19.1,1.0,12.6
Celtis australis,6.0,20.0,19.1,1.0,12.6
Celtis australis,6.0,20.0,19.1,1.0,12.6
Celtis australis,6.0,18.0,21.1,0.9,12.6
Celtis australis,6.0,20.0,24.7,1.0,12.6
Celtis australis,6.0,20.0,20.5,1.0,12.6
Celtis australis,6.0,22.0,25.6,1.1,12.6
Celtis australis,5.0,11.0,18.9,0.7,12.6
Celtis australis,5.0,9.0,9.7,0.6,7.1
Celtis australis,5.0,11.0,14.5,0.7,12.6
Celtis australis,5.0,11.0,16.7,0.7,12.6
Celtis australis,4.5,9.0,10.0,0.6,7.1
Celtis australis,5.0,10.0,14.0,0.6,9.6
Celtis australis,5.0,9.0,8.5,0.6,7.1
Celtis australis,4.5,12.0,11.0,0.7,7.1
Celtis australis,4.5,12.0,11.0,0.7,7.1
Celtis australis,4.5,12.0,10.4,0.7,7.1
Celtis australis,4.5,12.0,10.4,0.7,7.1
Celtis australis,4.5,12.0,9.1,0.7,7.1
Celtis australis,5.0,13.0,32.6,0.7,19.6
Celtis australis,4.5,12.0,11.0,0.7,7.1
Celtis australis,4.5,12.0,11.0,0.7,7.1
Celtis australis,4.5,12.0,11.0,0.7,7.1
Celtis australis,4.5,12.0,9.1,0.7,7.1
Celtis australis,4.5,12.0,11.0,0.7,7.1
Celtis australis,4.5,12.0,9.8,0.7,7.1
Celtis australis,4.5,12.0,11.0,0.7,7.1
Celtis australis,4.5,12.0,10.4,0.7,7.1
Celtis australis,4.5,10.0,8.0,0.6,7.1
Celtis australis,5.0,11.0,11.1,0.7,7.1
Celtis australis,5.0,11.0,11.1,0.7,7.1
Celtis australis,5.0,11.0,17.8,0.7,12.6
Celtis australis,6.0,12.0,20.7,0.7,12.6
Celtis australis,4.0,12.0,8.2,0.7,7.1
Celtis australis,8.0,25.0,73.2,1.2,28.3
Celtis australis,8.0,25.0,56.4,1.2,28.3
Celtis australis,8.0,19.0,62.7,1.0,28.3
Celtis australis,8.0,21.0,57.0,1.0,28.3
Celtis australis,8.0,21.0,68.9,1.0,28.3
Celtis australis,8.0,21.0,53.0,1.0,28.3
Celtis australis,8.0,21.0,61.0,1.0,28.3
Celtis australis,8.0,20.0,52.1,1.0,28.3
Celtis australis,8.0,21.0,57.0,1.0,28.3
Celtis australis,8.0,22.0,62.0,1.1,28.3
Celtis australis,8.0,18.0,65.2,0.9,28.3
Celtis australis,8.0,22.0,70.0,1.1,28.3
Celtis australis,8.0,19.0,66.5,1.0,28.3
Celtis australis,8.0,19.0,51.2,1.0,28.3
Celtis australis,8.0,19.0,51.2,1.0,28.3
Celtis australis,8.0,22.0,57.9,1.1,28.3
Celtis australis,8.0,19.0,58.8,1.0,28.3
Celtis australis,8.0,23.0,67.0,1.1,28.3
Celtis australis,8.0,25.0,73.2,1.2,28.3
Celtis australis,6.0,12.0,33.4,0.7,19.6
Celtis australis,6.0,12.0,31.5,0.7,19.6
Celtis australis,8.0,18.0,61.5,0.9,28.3
Celtis australis,8.0,19.0,66.5,1.0,28.3
Celtis australis,7.0,16.0,39.0,0.8,19.6
Celtis australis,8.0,19.0,133.9,1.0,50.3
Celtis australis,7.0,18.0,48.0,0.9,28.3
Celtis australis,4.0,6.0,3.2,0.4,1.8
Celtis australis,4.0,7.0,3.0,0.5,1.8
Celtis australis,5.0,12.0,19.4,0.7,12.6
Celtis australis,5.0,13.0,16.6,0.7,12.6
Celtis australis,4.0,7.0,3.4,0.5,1.8
Tilia cordata,5.0,18.0,23.9,2.4,12.6
Tilia cordata,4.0,11.0,8.8,1.3,4.9
Tilia cordata,4.0,15.0,22.4,1.9,12.6
Tilia cordata,4.0,10.0,8.0,1.1,4.9
Tilia cordata,6.0,18.0,36.6,2.4,15.9
Tilia cordata,4.5,7.0,2.9,0.7,0.8
Tilia cordata,4.5,7.0,2.5,0.7,0.8
Tilia cordata,5.0,15.0,20.9,1.9,12.6
Tilia cordata,6.0,17.0,28.1,2.3,12.6
Tilia cordata,4.0,8.0,3.3,0.8,0.8
Tilia cordata,4.0,7.0,4.3,0.7,1.8
Tilia cordata,5.0,17.0,24.9,2.3,12.6
Tilia cordata,3.5,6.0,4.4,0.6,3.1
Tilia cordata,4.0,21.0,34.5,3.0,15.9
Celtis australis,4.0,7.0,3.2,0.5,1.8
Celtis australis,5.0,10.0,8.0,0.6,4.9
Celtis australis,4.0,7.0,3.6,0.5,1.8
Celtis australis,5.0,12.0,8.6,0.7,4.9
Celtis australis,5.0,11.0,7.4,0.7,4.9
Celtis australis,6.0,19.0,60.6,1.0,28.3
Celtis australis,6.0,18.0,59.4,0.9,28.3
Celtis australis,8.0,22.0,70.0,1.1,28.3
Tilia cordata,4.0,12.0,10.6,1.4,7.1
Tilia cordata,5.0,16.0,25.9,2.1,12.6
Tilia cordata,5.0,15.0,22.4,1.9,12.6
Tilia cordata,5.0,13.0,14.1,1.6,7.1
Carpinus betulus,4.5,12.0,13.1,2.1,7.1
Carpinus betulus,4.5,12.0,14.8,2.1,7.1
Carpinus betulus,5.0,10.0,10.2,1.7,4.9
Carpinus betulus,5.0,11.0,14.0,1.9,7.1
Carpinus betulus,4.5,8.0,7.4,1.3,4.9
Carpinus betulus,4.5,9.0,10.1,1.5,4.9
Carpinus betulus,5.0,10.0,8.0,1.7,3.1
Platanus x hispanica,5.0,12.0,11.8,2.0,7.1
Platanus x hispanica,7.0,22.0,69.3,4.7,28.3
Platanus x hispanica,7.0,21.0,64.2,4.4,28.3
Platanus x hispanica,7.0,18.0,64.5,3.5,28.3
Platanus x hispanica,7.0,19.0,58.2,3.8,28.3
Platanus x hispanica,5.0,13.0,10.8,2.2,7.1
Platanus x hispanica,8.0,16.0,61.1,3.0,28.3
Platanus x hispanica,13.0,33.0,309.1,8.5,78.5
