Species,Height,Diameter,Leaf_area,Canopy_size,CO2
Carpinus betulus,4.5,10.0,10.4,4.9,1.7
Carpinus betulus,4.5,9.0,8.3,4.9,1.5
Carpinus betulus,5.0,10.0,7.1,3.1,1.7
Carpinus betulus,5.0,10.0,7.1,3.1,1.7
Carpinus betulus,4.5,9.0,8.9,4.9,1.5
Carpinus betulus,5.0,10.0,7.1,3.1,1.7
Carpinus betulus,2.5,9.0,6.9,3.1,1.5
Carpinus betulus,4.5,9.0,7.5,3.1,1.5
Carpinus betulus,5.0,10.0,13.5,7.1,1.7
Carpinus betulus,5.0,10.0,12.7,7.1,1.7
Carpinus betulus,4.5,10.0,8.6,4.9,1.7
Carpinus betulus,4.5,9.0,10.1,4.9,1.5
Carpinus betulus,4.5,9.0,6.6,3.1,1.5
Carpinus betulus,4.5,10.0,10.4,4.9,1.7
Carpinus betulus,4.5,9.0,7.5,3.1,1.5
Carpinus betulus,4.5,9.0,13.4,7.1,1.5
Carpinus betulus,4.5,9.0,9.5,4.9,1.5
Carpinus betulus,4.5,9.0,10.3,7.1,1.5
Carpinus betulus,4.5,10.0,10.4,4.9,1.7
Carpinus betulus,4.5,9.0,6.2,3.1,1.5
Carpinus betulus,5.0,10.0,7.6,3.1,1.7
Carpinus betulus,4.5,9.0,6.6,3.1,1.5
Carpinus betulus,4.5,9.0,8.9,4.9,1.5
Carpinus betulus,4.5,9.0,9.5,4.9,1.5
Carpinus betulus,4.5,9.0,8.3,4.9,1.5
Carpinus betulus,5.0,10.0,6.7,3.1,1.7
Celtis australis,6.0,18.0,18.4,12.6,0.9
Celtis australis,6.0,18.0,23.8,12.6,0.9
Celtis australis,6.0,18.0,23.8,12.6,0.9
Celtis australis,6.0,18.0,21.1,12.6,0.9
Celtis australis,6.0,18.0,23.8,12.6,0.9
Celtis australis,6.0,18.0,23.8,12.6,0.9
Celtis australis,6.0,17.0,23.4,12.6,0.9
Celtis australis,6.0,18.0,22.5,12.6,0.9
Celtis australis,6.0,18.0,23.8,12.6,0.9
Celtis australis,6.0,18.0,21.1,12.6,0.9
Celtis australis,6.0,20.0,24.7,12.6,1.0
