Species,Height,Diameter,Canopy_size,Leaf_area,CO2
Tilia cordata,7.0,13.0,12.6,22.4,1.6
Carpinus betulus,12.0,20.0,7.1,24.3,3.9
Carpinus betulus,12.0,20.0,7.1,29.4,3.9
Carpinus betulus,12.0,20.0,7.1,29.4,3.9
Carpinus betulus,8.0,20.0,7.1,18.6,3.9
Carpinus betulus,8.0,20.0,7.1,22.5,3.9
Carpinus betulus,8.0,20.0,7.1,22.5,3.9
Carpinus betulus,6.0,10.0,7.1,12.7,1.7
Carpinus betulus,6.0,10.0,7.1,15.4,1.7
Carpinus betulus,6.0,10.0,7.1,13.6,1.7
Carpinus betulus,6.0,10.0,7.1,13.6,1.7
Carpinus betulus,6.0,10.0,7.1,11.8,1.7
Carpinus betulus,6.0,4.0,3.1,6.3,0.6
Carpinus betulus,6.0,4.0,3.1,5.6,0.6
Carpinus betulus,6.0,4.0,3.1,5.6,0.6
Carpinus betulus,6.0,4.0,3.1,5.9,0.6
Carpinus betulus,6.0,4.0,3.1,4.8,0.6
Carpinus betulus,6.0,4.0,3.1,5.9,0.6
Carpinus betulus,6.0,4.0,3.1,4.8,0.6
Carpinus betulus,8.0,10.0,7.1,17.6,1.7
Carpinus betulus,6.0,20.0,7.1,16.3,3.9
Carpinus betulus,4.0,10.0,7.1,11.1,1.7
Carpinus betulus,15.0,25.0,12.6,58.4,5.3
Carpinus betulus,15.0,35.0,12.6,53.7,6.1
Carpinus betulus,15.0,10.0,7.1,28.2,1.7
Carpinus betulus,8.0,10.0,7.1,14.6,1.7
Carpinus betulus,15.0,20.0,12.6,47.4,3.9
Carpinus betulus,8.0,10.0,7.1,16.6,1.7
Carpinus betulus,8.0,15.0,12.6,33.9,2.7
Carpinus betulus,4.0,7.0,1.8,4.8,1.1
Carpinus betulus,4.0,7.0,1.8,4.3,1.1
Carpinus betulus,4.0,7.0,1.8,3.7,1.1
Carpinus betulus,4.0,7.0,1.8,4.0,1.1
Carpinus betulus,4.0,7.0,1.8,4.8,1.1
Carpinus betulus,4.0,7.0,1.8,4.8,1.1
Carpinus betulus,4.0,7.0,1.8,4.8,1.1
Carpinus betulus,4.0,7.0,1.8,4.8,1.1
Carpinus betulus,4.0,7.0,1.8,4.0,1.1
Carpinus betulus,4.0,7.0,1.8,4.8,1.1
Carpinus betulus,4.0,7.0,1.8,4.8,1.1
Celtis australis,10.0,15.0,7.1,14.3,0.8
Celtis australis,10.0,15.0,7.1,17.3,0.8
Celtis australis,12.0,20.0,7.1,20.6,1.0
Celtis australis,18.0,80.0,19.6,109.6,1.2
Celtis australis,8.0,20.0,7.1,16.7,1.0
Celtis australis,8.0,20.0,7.1,16.7,1.0
Celtis australis,8.0,20.0,7.1,14.8,1.0
Celtis australis,6.0,15.0,7.1,11.7,0.8
Tilia x europaea,5.0,7.0,4.9,8.5,1.6
Tilia x europaea,5.0,7.0,4.9,8.5,1.6
Tilia x europaea,5.0,7.0,4.9,7.0,1.6
Tilia x europaea,5.0,7.0,4.9,7.5,1.6
Tilia x europaea,5.0,7.0,4.9,7.0,1.6
Tilia x europaea,5.0,7.0,4.9,8.0,1.6
Tilia x europaea,6.0,20.0,28.3,73.9,6.7
Tilia x europaea,5.0,12.0,3.1,7.6,3.4
Tilia x europaea,8.0,35.0,50.3,198.9,14.3
Tilia x europaea,8.0,35.0,50.3,164.6,14.3
Tilia x europaea,8.0,35.0,50.3,198.9,14.3
Tilia x europaea,12.0,13.0,24.3,71.1,3.8
Tilia x europaea,12.0,13.0,24.3,71.1,3.8
Tilia x europaea,12.0,13.0,24.3,71.1,3.8
Tilia x europaea,12.0,13.0,24.3,62.9,3.8
Tilia x europaea,12.0,13.0,24.3,58.8,3.8
Tilia x europaea,12.0,13.0,24.3,67.0,3.8
Tilia x europaea,12.0,13.0,24.3,58.8,3.8
Tilia x europaea,12.0,13.0,24.3,71.1,3.8
Tilia x europaea,12.0,12.0,24.3,69.1,3.4
Tilia x europaea,12.0,12.0,24.3,57.2,3.4
Tilia x europaea,12.0,12.0,24.3,69.1,3.4
Tilia x europaea,5.0,11.0,7.1,13.2,3.0
Tilia x europaea,12.0,14.0,7.1,23.1,4.2
Tilia x europaea,20.0,25.0,12.6,61.8,9.1
Tilia x europaea,10.0,15.0,7.1,15.9,4.6
Tilia x europaea,10.0,10.0,7.1,16.9,2.6
Celtis australis,8.0,24.0,50.3,112.0,1.1
Carpinus betulus,4.5,9.0,4.9,7.7,1.5
Carpinus betulus,4.5,9.0,4.9,8.3,1.5
Carpinus betulus,5.0,10.0,3.1,6.2,1.7
Carpinus betulus,5.0,10.0,7.1,13.5,1.7
Carpinus betulus,5.0,10.0,3.1,6.7,1.7
Tilia cordata,4.0,6.0,1.8,3.4,0.6
Tilia cordata,4.0,6.0,0.8,3.0,0.6
Tilia cordata,6.0,13.0,12.6,19.7,1.6
Platanus x hispanica,11.0,29.0,78.5,251.9,7.1
Carpinus betulus,4.0,9.0,4.9,8.0,1.5
Carpinus betulus,4.5,12.0,7.1,11.4,2.1
Carpinus betulus,4.5,9.0,3.1,6.2,1.5
Tilia cordata,4.0,12.0,7.1,9.9,1.4
Tilia cordata,1.0,8.0,0.2,0.3,0.8
Tilia cordata,6.0,16.0,28.3,68.5,2.1
Tilia cordata,5.0,9.0,1.8,4.5,1.0
Tilia cordata,6.0,18.0,28.3,71.4,2.4
Tilia cordata,4.5,8.0,0.8,3.4,0.8
Tilia cordata,4.0,8.0,0.8,3.3,0.8
Tilia cordata,4.5,8.0,0.8,2.8,0.8
Tilia cordata,4.0,13.0,12.6,22.6,1.6
Tilia cordata,5.0,15.0,12.6,19.5,1.9
Tilia cordata,5.0,13.0,12.6,18.5,1.6
Tilia cordata,4.0,7.0,0.8,2.6,0.7
Tilia cordata,4.5,12.0,12.6,20.1,1.4
Tilia cordata,4.0,8.0,1.8,4.0,0.8
Tilia cordata,5.0,18.0,12.6,27.0,2.4
Tilia cordata,4.0,7.0,1.8,4.3,0.7
Tilia cordata,6.0,19.0,12.6,29.2,2.6
Tilia cordata,4.0,7.0,0.8,2.9,0.7
Tilia cordata,4.0,7.0,0.8,2.8,0.7
Tilia cordata,4.0,9.0,7.1,8.9,1.0
Tilia cordata,5.0,11.0,7.1,11.0,1.3
Tilia cordata,4.5,14.0,12.6,19.8,1.7
Tilia cordata,4.0,6.0,0.8,2.4,0.6
Tilia cordata,4.0,7.0,0.8,2.4,0.7
Tilia cordata,4.0,7.0,0.8,3.1,0.7
Tilia cordata,4.0,13.0,7.1,11.7,1.6
Tilia cordata,4.5,15.0,12.6,23.1,1.9
Tilia cordata,4.0,6.0,0.8,3.0,0.6
Tilia cordata,4.0,6.0,0.8,2.6,0.6
Tilia cordata,4.0,6.0,0.8,3.0,0.6
Tilia cordata,3.0,5.0,0.8,1.9,0.4
Tilia cordata,4.0,5.0,0.8,2.6,0.4
Tilia cordata,5.0,17.0,12.6,20.3,2.3
Tilia cordata,4.0,8.0,1.8,4.5,0.8
Tilia cordata,5.0,16.0,19.6,42.1,2.1
Platanus x hispanica,7.0,10.0,3.1,5.5,1.5
Platanus x hispanica,6.0,10.0,3.1,6.7,1.5
Platanus x hispanica,7.0,12.0,3.1,7.7,2.0
Platanus x hispanica,8.0,13.0,3.1,6.6,2.2
Platanus x hispanica,6.0,11.0,7.1,9.4,1.7
Platanus x hispanica,6.0,11.0,7.1,12.3,1.7
Carpinus betulus,6.0,7.0,7.1,13.6,1.1
Carpinus betulus,6.0,7.0,3.1,7.6,1.1
Carpinus betulus,6.0,7.0,7.1,13.6,1.1
Celtis australis,7.0,19.0,28.3,63.5,1.0
Tilia cordata,6.0,15.0,12.6,22.2,1.9
Tilia cordata,6.0,13.0,12.6,25.5,1.6
Tilia cordata,6.0,15.0,12.6,26.9,1.9
Tilia cordata,6.0,14.0,12.6,24.7,1.7
Tilia cordata,6.0,16.0,12.6,21.2,2.1
Tilia cordata,5.0,13.0,4.9,9.4,1.6
Tilia cordata,6.0,16.0,15.9,35.1,2.1
Tilia cordata,5.0,10.0,7.1,12.1,1.1
Tilia cordata,4.0,7.0,1.8,3.8,0.7
Tilia cordata,5.5,14.0,19.6,41.2,1.7
Tilia cordata,4.5,13.0,12.6,19.3,1.6
Tilia cordata,3.5,7.0,1.8,4.1,0.7
Tilia cordata,4.0,8.0,3.1,4.8,0.8
Tilia cordata,3.0,7.0,0.8,2.4,0.7
Tilia cordata,4.0,9.0,3.1,5.3,1.0
Tilia cordata,3.5,7.0,1.8,3.7,0.7
Tilia cordata,3.5,7.0,1.8,3.7,0.7
Tilia cordata,3.5,7.0,1.8,4.1,0.7
Tilia cordata,4.0,11.0,12.6,16.4,1.3
Tilia cordata,4.5,12.0,19.6,30.6,1.4
Tilia cordata,4.0,6.0,0.8,2.8,0.6
Tilia cordata,6.0,14.0,12.6,20.2,1.7
Tilia cordata,5.0,13.0,12.6,21.3,1.6
Tilia cordata,4.0,9.0,1.8,4.4,1.0
Tilia cordata,4.0,10.0,7.1,9.3,1.1
Tilia cordata,4.0,10.0,7.1,10.6,1.1
Tilia cordata,4.5,12.0,12.6,22.7,1.4
Tilia cordata,4.0,10.0,4.9,6.9,1.1
Tilia cordata,3.0,9.0,0.8,2.8,1.0
Celtis australis,6.0,14.0,19.6,31.2,0.8
Celtis australis,6.0,14.0,19.6,29.2,0.8
Celtis australis,6.0,14.0,19.6,35.3,0.8
Celtis australis,5.0,14.0,7.1,10.7,0.8
Celtis australis,5.0,14.0,7.1,10.7,0.8
Celtis australis,5.0,14.0,7.1,12.0,0.8
Celtis australis,5.0,14.0,7.1,10.7,0.8
Celtis australis,5.0,14.0,7.1,12.0,0.8
Celtis australis,6.0,14.0,19.6,31.2,0.8
Celtis australis,6.0,14.0,19.6,29.2,0.8
Celtis australis,5.0,14.0,7.1,10.0,0.8
Celtis australis,5.0,11.0,4.9,6.4,0.7
Celtis australis,5.0,11.0,4.9,7.8,0.7
Celtis australis,5.0,11.0,4.9,8.3,0.7
Celtis australis,5.0,14.0,7.1,12.0,0.8
Celtis australis,6.0,14.0,19.6,31.2,0.8
Celtis australis,6.0,14.0,19.6,33.2,0.8
Celtis australis,6.0,13.0,19.6,26.5,0.7
Celtis australis,6.0,14.0,19.6,31.2,0.8
Celtis australis,6.0,12.0,12.6,18.3,0.7
Celtis australis,6.0,12.0,12.6,20.7,0.7
Celtis australis,6.0,16.0,12.6,21.6,0.8
Celtis australis,6.0,12.0,12.6,20.7,0.7
Celtis australis,6.0,12.0,12.6,17.1,0.7
Celtis australis,6.0,12.0,12.6,18.3,0.7
Celtis australis,5.0,9.0,4.9,7.8,0.6
Celtis australis,5.0,11.0,4.9,8.3,0.7
Celtis australis,5.0,14.0,7.1,10.7,0.8
Celtis australis,5.0,11.0,4.9,7.8,0.7
Celtis australis,5.0,11.0,7.1,11.1,0.7
Celtis australis,5.0,11.0,7.1,8.5,0.7
Celtis australis,5.0,11.0,7.1,11.1,0.7
Celtis australis,5.0,9.0,4.9,7.8,0.6
Celtis australis,5.0,11.0,7.1,9.8,0.7
Celtis australis,5.0,11.0,7.1,8.5,0.7
Celtis australis,5.0,14.0,7.1,10.0,0.8
Celtis australis,6.0,14.0,19.6,33.2,0.8
Celtis australis,5.0,14.0,7.1,12.0,0.8
Celtis australis,6.0,14.0,19.6,29.2,0.8
Celtis australis,6.0,14.0,19.6,35.3,0.8
Celtis australis,5.0,14.0,7.1,9.3,0.8
Celtis australis,5.0,14.0,7.1,9.3,0.8
Celtis australis,5.0,14.0,7.1,9.3,0.8
Celtis australis,6.0,14.0,19.6,35.3,0.8
Celtis australis,6.0,14.0,19.6,35.3,0.8
Celtis australis,6.0,14.0,19.6,35.3,0.8
Celtis australis,6.0,14.0,19.6,31.2,0.8
Celtis australis,6.0,14.0,19.6,33.2,0.8
Tilia cordata,4.0,10.0,4.9,9.0,1.1
Tilia cordata,4.0,10.0,4.9,7.5,1.1
Tilia cordata,4.0,10.0,4.9,9.0,1.1
Tilia cordata,4.0,10.0,4.9,8.0,1.1
Tilia cordata,4.0,10.0,4.9,9.0,1.1
Tilia cordata,4.0,10.0,4.9,8.0,1.1
Tilia cordata,4.0,10.0,4.9,9.0,1.1
Tilia cordata,4.0,10.0,4.9,9.0,1.1
Tilia cordata,4.0,10.0,4.9,9.0,1.1
Tilia cordata,4.0,10.0,4.9,7.5,1.1
Tilia cordata,4.0,10.0,4.9,9.0,1.1
Tilia cordata,4.0,10.0,4.9,8.0,1.1
Tilia cordata,4.0,10.0,4.9,9.0,1.1
Tilia cordata,4.0,10.0,4.9,6.9,1.1
Tilia cordata,4.0,10.0,4.9,7.5,1.1
Tilia cordata,4.0,10.0,4.9,9.0,1.1
Tilia cordata,4.0,10.0,4.9,8.0,1.1
Tilia cordata,4.0,10.0,4.9,8.5,1.1
Tilia cordata,4.0,10.0,4.9,8.0,1.1
Tilia cordata,4.0,10.0,4.9,9.0,1.1
Tilia cordata,4.0,10.0,4.9,9.0,1.1
Tilia cordata,4.0,10.0,4.9,9.0,1.1
Tilia cordata,4.0,10.0,4.9,8.0,1.1
Tilia cordata,4.0,10.0,4.9,8.0,1.1
Tilia cordata,4.0,10.0,4.9,8.5,1.1
Tilia cordata,4.0,10.0,4.9,7.5,1.1
Tilia cordata,4.0,10.0,4.9,7.5,1.1
Tilia cordata,4.0,10.0,4.9,9.0,1.1
Tilia cordata,4.0,10.0,4.9,6.9,1.1
Tilia cordata,4.0,10.0,4.9,8.5,1.1
Tilia cordata,4.0,10.0,4.9,7.5,1.1
Tilia cordata,4.0,10.0,4.9,9.0,1.1
Tilia cordata,4.0,10.0,4.9,8.5,1.1
Tilia cordata,4.0,10.0,4.9,9.0,1.1
Tilia cordata,4.0,10.0,4.9,9.0,1.1
Tilia cordata,4.0,10.0,4.9,7.5,1.1
Tilia cordata,4.0,10.0,4.9,9.0,1.1
Tilia cordata,4.0,10.0,4.9,9.0,1.1
Tilia cordata,4.0,10.0,4.9,8.0,1.1
Tilia cordata,4.0,10.0,4.9,7.5,1.1
Tilia cordata,4.0,10.0,4.9,8.5,1.1
Tilia cordata,4.0,10.0,4.9,9.0,1.1
Tilia cordata,4.0,10.0,4.9,9.0,1.1
Tilia cordata,4.0,10.0,4.9,8.0,1.1
Tilia cordata,4.0,10.0,4.9,8.5,1.1
Tilia cordata,4.0,10.0,4.9,9.0,1.1
Tilia cordata,4.0,10.0,4.9,9.0,1.1
Tilia cordata,4.0,10.0,4.9,8.0,1.1
Tilia cordata,4.0,10.0,4.9,8.0,1.1
Tilia cordata,4.0,10.0,4.9,8.0,1.1
Tilia cordata,4.0,10.0,4.9,9.0,1.1
Tilia cordata,4.0,10.0,4.9,9.0,1.1
Tilia cordata,4.0,10.0,4.9,6.9,1.1
Tilia cordata,4.0,10.0,4.9,8.5,1.1
Tilia cordata,4.0,10.0,4.9,8.5,1.1
Tilia cordata,4.0,10.0,4.9,9.0,1.1
Tilia cordata,4.0,10.0,4.9,9.0,1.1
Tilia cordata,4.0,10.0,4.9,9.0,1.1
Celtis australis,6.0,18.0,28.3,59.4,0.9
Carpinus betulus,4.5,10.0,4.9,10.4,1.7
Carpinus betulus,5.0,9.0,3.1,7.3,1.5
Carpinus betulus,4.5,10.0,4.9,8.0,1.7
Carpinus betulus,4.5,10.0,4.9,10.4,1.7
Carpinus betulus,4.5,9.0,4.9,8.3,1.5
Carpinus betulus,5.0,10.0,3.1,7.1,1.7
Carpinus betulus,5.0,10.0,3.1,7.1,1.7
Carpinus betulus,4.5,9.0,4.9,8.9,1.5
Carpinus betulus,5.0,10.0,3.1,7.1,1.7
Carpinus betulus,2.5,9.0,3.1,6.9,1.5
Carpinus betulus,4.5,9.0,3.1,7.5,1.5
Carpinus betulus,5.0,10.0,7.1,13.5,1.7
Carpinus betulus,5.0,10.0,7.1,12.7,1.7
Carpinus betulus,4.5,10.0,4.9,8.6,1.7
Carpinus betulus,4.5,9.0,4.9,10.1,1.5
Carpinus betulus,4.5,9.0,3.1,6.6,1.5
Carpinus betulus,4.5,10.0,4.9,10.4,1.7
Carpinus betulus,4.5,9.0,3.1,7.5,1.5
Carpinus betulus,4.5,9.0,7.1,13.4,1.5
Carpinus betulus,4.5,9.0,4.9,9.5,1.5
Carpinus betulus,4.5,9.0,7.1,10.3,1.5
Carpinus betulus,4.5,10.0,4.9,10.4,1.7
Carpinus betulus,4.5,9.0,3.1,6.2,1.5
Carpinus betulus,5.0,10.0,3.1,7.6,1.7
Carpinus betulus,4.5,9.0,3.1,6.6,1.5
Carpinus betulus,4.5,9.0,4.9,8.9,1.5
Carpinus betulus,4.5,9.0,4.9,9.5,1.5
Carpinus betulus,4.5,9.0,4.9,8.3,1.5
Carpinus betulus,5.0,10.0,3.1,6.7,1.7
Celtis australis,6.0,18.0,12.6,18.4,0.9
Celtis australis,6.0,18.0,12.6,23.8,0.9
Celtis australis,6.0,18.0,12.6,23.8,0.9
Celtis australis,6.0,18.0,12.6,21.1,0.9
Celtis australis,6.0,18.0,12.6,23.8,0.9
Celtis australis,6.0,18.0,12.6,23.8,0.9
Celtis australis,6.0,17.0,12.6,23.4,0.9
Celtis australis,6.0,18.0,12.6,22.5,0.9
Celtis australis,6.0,18.0,12.6,23.8,0.9
Celtis australis,6.0,18.0,12.6,21.1,0.9
Celtis australis,6.0,20.0,12.6,24.7,1.0
Celtis australis,6.0,20.0,12.6,21.9,1.0
Celtis australis,6.0,20.0,12.6,19.1,1.0
Celtis australis,6.0,20.0,12.6,19.1,1.0
Celtis australis,6.0,20.0,12.6,19.1,1.0
Celtis australis,6.0,18.0,12.6,21.1,0.9
Celtis australis,6.0,20.0,12.6,24.7,1.0
Celtis australis,6.0,20.0,12.6,20.5,1.0
Celtis australis,6.0,22.0,12.6,25.6,1.1
Celtis australis,5.0,11.0,12.6,18.9,0.7
Celtis australis,5.0,9.0,7.1,9.7,0.6
Celtis australis,5.0,11.0,12.6,14.5,0.7
Celtis australis,5.0,11.0,12.6,16.7,0.7
Celtis australis,4.5,9.0,7.1,10.0,0.6
Celtis australis,5.0,10.0,9.6,14.0,0.6
Celtis australis,5.0,9.0,7.1,8.5,0.6
Celtis australis,4.5,12.0,7.1,11.0,0.7
Celtis australis,4.5,12.0,7.1,11.0,0.7
Celtis australis,4.5,12.0,7.1,10.4,0.7
Celtis australis,4.5,12.0,7.1,10.4,0.7
Celtis australis,4.5,12.0,7.1,9.1,0.7
Celtis australis,5.0,13.0,19.6,32.6,0.7
Celtis australis,4.5,12.0,7.1,11.0,0.7
Celtis australis,4.5,12.0,7.1,11.0,0.7
Celtis australis,4.5,12.0,7.1,11.0,0.7
Celtis australis,4.5,12.0,7.1,9.1,0.7
Celtis australis,4.5,12.0,7.1,11.0,0.7
Celtis australis,4.5,12.0,7.1,9.8,0.7
Celtis australis,4.5,12.0,7.1,11.0,0.7
Celtis australis,4.5,12.0,7.1,10.4,0.7
Celtis australis,4.5,10.0,7.1,8.0,0.6
Celtis australis,5.0,11.0,7.1,11.1,0.7
Celtis australis,5.0,11.0,7.1,11.1,0.7
Celtis australis,5.0,11.0,12.6,17.8,0.7
Celtis australis,6.0,12.0,12.6,20.7,0.7
Celtis australis,4.0,12.0,7.1,8.2,0.7
Celtis australis,8.0,25.0,28.3,73.2,1.2
Celtis australis,8.0,25.0,28.3,56.4,1.2
Celtis australis,8.0,19.0,28.3,62.7,1.0
Celtis australis,8.0,21.0,28.3,57.0,1.0
Celtis australis,8.0,21.0,28.3,68.9,1.0
Celtis australis,8.0,21.0,28.3,53.0,1.0
Celtis australis,8.0,21.0,28.3,61.0,1.0
Celtis australis,8.0,20.0,28.3,52.1,1.0
Celtis australis,8.0,21.0,28.3,57.0,1.0
Celtis australis,8.0,22.0,28.3,62.0,1.1
Celtis australis,8.0,18.0,28.3,65.2,0.9
Celtis australis,8.0,22.0,28.3,70.0,1.1
Celtis australis,8.0,19.0,28.3,66.5,1.0
Celtis australis,8.0,19.0,28.3,51.2,1.0
Celtis australis,8.0,19.0,28.3,51.2,1.0
Celtis australis,8.0,22.0,28.3,57.9,1.1
Celtis australis,8.0,19.0,28.3,58.8,1.0
Celtis australis,8.0,23.0,28.3,67.0,1.1
Celtis australis,8.0,25.0,28.3,73.2,1.2
Celtis australis,6.0,12.0,19.6,33.4,0.7
Celtis australis,6.0,12.0,19.6,31.5,0.7
Celtis australis,8.0,18.0,28.3,61.5,0.9
Celtis australis,8.0,19.0,28.3,66.5,1.0
Celtis australis,7.0,16.0,19.6,39.0,0.8
Celtis australis,8.0,19.0,50.3,133.9,1.0
Celtis australis,7.0,18.0,28.3,48.0,0.9
Celtis australis,4.0,6.0,1.8,3.2,0.4
Celtis australis,4.0,7.0,1.8,3.0,0.5
Celtis australis,5.0,12.0,12.6,19.4,0.7
Celtis australis,5.0,13.0,12.6,16.6,0.7
Celtis australis,4.0,7.0,1.8,3.4,0.5
Tilia cordata,5.0,18.0,12.6,23.9,2.4
Tilia cordata,4.0,11.0,4.9,8.8,1.3
Tilia cordata,4.0,15.0,12.6,22.4,1.9
Tilia cordata,4.0,10.0,4.9,8.0,1.1
Tilia cordata,6.0,18.0,15.9,36.6,2.4
Tilia cordata,4.5,7.0,0.8,2.9,0.7
Tilia cordata,4.5,7.0,0.8,2.5,0.7
Tilia cordata,5.0,15.0,12.6,20.9,1.9
Tilia cordata,6.0,17.0,12.6,28.1,2.3
Tilia cordata,4.0,8.0,0.8,3.3,0.8
Tilia cordata,4.0,7.0,1.8,4.3,0.7
Tilia cordata,5.0,17.0,12.6,24.9,2.3
Tilia cordata,3.5,6.0,3.1,4.4,0.6
Tilia cordata,4.0,21.0,15.9,34.5,3.0
Celtis australis,4.0,7.0,1.8,3.2,0.5
Celtis australis,5.0,10.0,4.9,8.0,0.6
Celtis australis,4.0,7.0,1.8,3.6,0.5
Celtis australis,5.0,12.0,4.9,8.6,0.7
Celtis australis,5.0,11.0,4.9,7.4,0.7
Celtis australis,6.0,19.0,28.3,60.6,1.0
Celtis australis,6.0,18.0,28.3,59.4,0.9
Celtis australis,8.0,22.0,28.3,70.0,1.1
Tilia cordata,4.0,12.0,7.1,10.6,1.4
Tilia cordata,5.0,16.0,12.6,25.9,2.1
Tilia cordata,5.0,15.0,12.6,22.4,1.9
Tilia cordata,5.0,13.0,7.1,14.1,1.6
Carpinus betulus,4.5,12.0,7.1,13.1,2.1
Carpinus betulus,4.5,12.0,7.1,14.8,2.1
