Species,Height,Diameter,Canopy_size,Leaf_area
Tilia cordata,5.0,17.0,12.6,24.9
Tilia cordata,3.5,6.0,3.1,4.4
Tilia cordata,4.0,21.0,15.9,34.5
Celtis australis,4.0,7.0,1.8,3.2
Celtis australis,5.0,10.0,4.9,8.0
Celtis australis,4.0,7.0,1.8,3.6
Celtis australis,5.0,12.0,4.9,8.6
Celtis australis,5.0,11.0,4.9,7.4
Celtis australis,6.0,19.0,28.3,60.6
Celtis australis,6.0,18.0,28.3,59.4
Celtis australis,8.0,22.0,28.3,70.0
Tilia cordata,4.0,12.0,7.1,10.6
Tilia cordata,5.0,16.0,12.6,25.9
Tilia cordata,5.0,15.0,12.6,22.4
Tilia cordata,5.0,13.0,7.1,14.1
Carpinus betulus,4.5,12.0,7.1,13.1
Carpinus betulus,4.5,12.0,7.1,14.8
Carpinus betulus,5.0,10.0,4.9,10.2
Carpinus betulus,5.0,11.0,7.1,14.0
Carpinus betulus,4.5,8.0,4.9,7.4
Carpinus betulus,4.5,9.0,4.9,10.1
Carpinus betulus,5.0,10.0,3.1,8.0
Platanus x hispanica,5.0,12.0,7.1,11.8
Platanus x hispanica,7.0,22.0,28.3,69.3
Platanus x hispanica,7.0,21.0,28.3,64.2
Platanus x hispanica,7.0,18.0,28.3,64.5
Platanus x hispanica,7.0,19.0,28.3,58.2
Platanus x hispanica,5.0,13.0,7.1,10.8
Platanus x hispanica,8.0,16.0,28.3,61.1
Platanus x hispanica,13.0,33.0,78.5,309.1
Platanus x hispanica,12.0,33.0,78.5,268.6
Platanus x hispanica,11.0,22.0,50.3,161.0
Platanus x hispanica,6.0,7.0,1.8,4.3
Platanus x hispanica,12.0,32.0,78.5,265.7
Platanus x hispanica,11.0,21.0,63.6,158.1
Platanus x hispanica,12.0,28.0,78.5,286.3
Platanus x hispanica,11.0,22.0,63.6,196.7
Platanus x hispanica,12.0,29.0,95.0,300.9
Platanus x hispanica,8.0,15.0,23.8,42.8
Celtis australis,4.0,7.0,0.8,2.2
Celtis australis,6.0,13.0,12.6,20.0
Celtis australis,6.0,14.0,12.6,20.6
Platanus x hispanica,10.0,19.0,63.6,193.2
Platanus x hispanica,12.0,28.0,78.5,220.5
Platanus x hispanica,12.0,31.0,78.5,296.8
Platanus x hispanica,8.0,18.0,38.5,92.5
Platanus x hispanica,8.0,18.0,50.3,136.1
Platanus x hispanica,11.0,22.0,50.3,161.0
Platanus x hispanica,11.0,24.0,63.6,190.4
Platanus x hispanica,11.0,24.0,63.6,215.2
Platanus x hispanica,10.0,21.0,50.3,144.5
Platanus x hispanica,12.0,24.0,95.0,281.4
Platanus x hispanica,11.0,29.0,78.5,219.2
Platanus x hispanica,7.0,18.0,38.5,88.9
Tilia cordata,10.0,25.0,50.3,189.1
Tilia cordata,10.0,19.0,50.3,142.0
Tilia cordata,7.0,16.0,12.6,29.2
Tilia cordata,7.0,16.0,12.6,25.8
Tilia cordata,7.0,17.0,28.3,60.7
Tilia cordata,6.0,14.0,12.6,24.7
Tilia cordata,6.0,13.0,12.6,21.1
Tilia cordata,6.0,13.0,28.3,63.7
Tilia cordata,7.0,15.0,28.3,70.1
Tilia cordata,7.0,14.0,38.5,100.1
Tilia cordata,8.0,18.0,38.5,113.8
Tilia cordata,4.0,6.0,0.8,3.0
Tilia cordata,6.0,13.0,12.6,25.5
Tilia cordata,5.0,6.0,1.8,4.4
Tilia cordata,6.0,10.0,4.9,8.0
Tilia cordata,2.5,7.0,0.8,2.1
Tilia cordata,4.5,12.0,12.6,20.1
Tilia cordata,4.0,10.0,3.1,6.3
Tilia cordata,4.0,10.0,3.1,6.3
Tilia cordata,6.5,19.0,12.6,23.2
Tilia cordata,4.0,8.0,1.8,4.5
Tilia cordata,5.5,16.0,19.6,33.3
Tilia cordata,5.5,16.0,28.3,66.9
Tilia cordata,4.0,7.0,0.8,3.1
Tilia cordata,4.0,7.0,0.8,3.1
Tilia cordata,6.0,18.0,28.3,55.0
Tilia cordata,5.5,16.0,19.6,40.7
Tilia cordata,4.0,7.0,0.8,3.1
Tilia cordata,4.0,7.0,1.8,3.3
Tilia cordata,4.0,7.0,1.8,3.8
Tilia cordata,5.0,17.0,19.6,43.0
Tilia cordata,5.0,17.0,19.6,35.6
Tilia cordata,4.0,12.0,7.1,11.3
Tilia cordata,4.0,18.0,12.6,25.4
Platanus x hispanica,5.0,10.0,4.9,7.9
Platanus x hispanica,5.0,10.0,4.9,7.4
Platanus x hispanica,6.0,14.0,3.1,7.1
Platanus x hispanica,6.0,14.0,3.1,7.1
Platanus x hispanica,5.0,13.0,1.8,4.4
Platanus x hispanica,6.0,13.0,3.1,7.3
Platanus x hispanica,6.0,13.0,3.1,7.3
Platanus x hispanica,7.0,13.0,7.1,13.1
Platanus x hispanica,7.0,13.0,7.1,11.5
Platanus x hispanica,7.0,13.0,7.1,13.9
Platanus x hispanica,4.0,10.0,4.9,6.9
Platanus x hispanica,6.0,10.0,4.9,8.4
Platanus x hispanica,5.0,15.0,7.1,12.1
Platanus x hispanica,5.0,13.0,7.1,9.4
Platanus x hispanica,6.0,15.0,7.1,13.7
Platanus x hispanica,6.0,15.0,7.1,12.1
Platanus x hispanica,6.0,15.0,7.1,10.5
Platanus x hispanica,6.0,10.0,4.9,7.9
Platanus x hispanica,6.0,10.0,4.9,7.9
Platanus x hispanica,6.0,10.0,4.9,9.0
Platanus x hispanica,7.0,11.0,7.1,11.6
Platanus x hispanica,7.0,12.0,7.1,11.2
Platanus x hispanica,7.0,12.0,7.1,12.0
Platanus x hispanica,6.0,11.0,4.9,9.3
Platanus x hispanica,7.0,11.0,7.1,10.9
Platanus x hispanica,7.0,11.0,7.1,10.1
Platanus x hispanica,6.0,10.0,7.1,10.5
Platanus x hispanica,6.0,10.0,7.1,11.9
Platanus x hispanica,6.0,10.0,7.1,9.1
Celtis australis,5.0,15.0,12.6,18.6
Celtis australis,5.0,15.0,12.6,18.6
Celtis australis,5.0,14.0,12.6,20.5
Celtis australis,5.0,14.0,12.6,20.5
Celtis australis,4.0,12.0,7.1,10.7
