Height,Diameter,Canopy_size,Leaf_area
8.0,20.0,7.1,22.5
8.0,20.0,7.1,22.5
6.0,10.0,7.1,12.7
6.0,10.0,7.1,15.4
6.0,10.0,7.1,13.6
6.0,10.0,7.1,13.6
6.0,10.0,7.1,11.8
6.0,4.0,3.1,6.3
6.0,4.0,3.1,5.6
6.0,4.0,3.1,5.6
6.0,4.0,3.1,5.9
6.0,4.0,3.1,4.8
6.0,4.0,3.1,5.9
6.0,4.0,3.1,4.8
8.0,10.0,7.1,17.6
6.0,20.0,7.1,16.3
4.0,10.0,7.1,11.1
15.0,25.0,12.6,58.4
15.0,35.0,12.6,53.7
15.0,10.0,7.1,28.2
8.0,10.0,7.1,14.6
15.0,20.0,12.6,47.4
8.0,10.0,7.1,16.6
8.0,15.0,12.6,33.9
4.0,7.0,1.8,4.8
4.0,7.0,1.8,4.3
4.0,7.0,1.8,3.7
4.0,7.0,1.8,4.0
4.0,7.0,1.8,4.8
4.0,7.0,1.8,4.8
4.0,7.0,1.8,4.8
4.0,7.0,1.8,4.8
4.0,7.0,1.8,4.0
4.0,7.0,1.8,4.8
4.0,7.0,1.8,4.8
10.0,15.0,7.1,14.3
10.0,15.0,7.1,17.3
12.0,20.0,7.1,20.6
18.0,80.0,19.6,109.6
8.0,20.0,7.1,16.7
8.0,20.0,7.1,16.7
8.0,20.0,7.1,14.8
6.0,15.0,7.1,11.7
4.0,15.0,0.5,1.9
6.0,15.0,1.1,3.9
8.0,10.0,0.8,3.6
12.0,20.0,1.1,6.5
10.0,30.0,12.6,29.6
4.0,8.0,3.1,5.5
5.0,11.0,3.1,6.7
6.0,7.0,7.1,8.4
8.0,20.0,7.1,19.7
4.0,8.0,3.1,5.7
6.0,5.0,3.1,5.9
8.0,10.0,7.1,15.4
8.0,10.0,7.1,11.9
5.0,5.0,3.1,5.5
8.0,20.0,7.1,19.7
8.0,20.0,7.1,15.1
6.0,15.0,7.1,15.5
8.0,20.0,7.1,19.7
6.0,10.0,7.1,11.9
6.0,10.0,7.1,13.5
8.0,20.0,7.1,17.4
6.0,10.0,7.1,13.5
8.0,20.0,7.1,15.1
8.0,20.0,7.1,16.3
8.0,20.0,7.1,19.7
6.0,10.0,7.1,10.4
8.0,20.0,7.1,15.1
6.0,10.0,7.1,12.7
6.7,16.3,7.1,11.8
6.0,20.0,12.6,22.3
5.0,7.0,1.8,4.5
5.0,7.0,1.8,3.8
5.0,7.0,1.8,4.0
5.0,7.0,1.8,4.5
5.0,7.0,1.8,4.3
5.0,7.0,1.8,4.3
4.0,30.0,12.6,21.8
4.0,20.0,7.1,9.1
4.0,6.0,7.1,7.8
4.0,6.0,7.1,7.8
4.0,6.0,7.1,7.8
4.0,6.0,7.1,7.8
4.0,13.0,12.6,14.6
12.0,18.0,19.6,47.3
18.0,25.0,7.1,31.6
18.0,25.0,7.1,28.0
14.0,20.0,12.6,29.5
